CompletionTime_us,FlowType,SizeBytes,FCT_us
100088,Mouse,3059,88
100089,Mouse,3829,89
100090,Mouse,3779,90
100091,Mouse,4186,91
100091,Mouse,3783,91
100095,Mouse,4569,95
100101,Mouse,4920,101
100103,Mouse,5213,103
100105,Mouse,5781,105
100113,Mouse,3950,105
100166,Mouse,5358,65
100212,Mouse,5611,66
100278,Mouse,3180,64
100322,Mouse,4229,65
100352,Mouse,3825,64
100356,Mouse,3830,67
100388,Mouse,4670,73
100456,Mouse,5469,66
100531,Mouse,5421,74
100683,Mouse,3105,76
100724,Mouse,5271,75
100754,Mouse,3888,77
100930,Mouse,5015,105
100959,Mouse,3048,110
101031,Elephant,347076,1031
101134,Mouse,5334,82
101138,Mouse,5611,84
101193,Elephant,353536,1056
101200,Mouse,4925,96
101219,Mouse,3291,94
101233,Mouse,3659,88
101279,Mouse,4630,69
101344,Elephant,261644,908
101384,Mouse,4889,66
101445,Mouse,4120,68
101651,Elephant,233680,925
101699,Mouse,5211,65
101769,Mouse,4176,67
101905,Mouse,3495,67
101911,Mouse,4090,70
101915,Mouse,3501,71
102051,Elephant,62357,333
102082,Mouse,4553,70
102113,Mouse,5114,70
102172,Mouse,4644,72
102268,Mouse,4939,71
102269,Mouse,3935,70
102310,Mouse,3466,69
102351,Mouse,4169,68
102373,Mouse,3191,67
102507,Mouse,3122,69
102514,Mouse,3042,72
102532,Mouse,3616,74
102604,Mouse,5031,92
102677,Mouse,5480,103
102702,Mouse,5300,108
102773,Elephant,549387,1333
102821,Mouse,5621,98
102838,Mouse,5638,85
102856,Mouse,3920,79
102880,Mouse,4081,86
102945,Mouse,3591,93
103089,Mouse,4751,98
103092,Mouse,4885,100
103224,Mouse,3265,127
103316,Mouse,3516,134
103326,Elephant,554074,1577
103425,Mouse,5377,112
103441,Mouse,5806,108
103509,Mouse,5166,114
103627,Elephant,69957,597
103692,Mouse,3919,106
103734,Mouse,3426,108
103862,Mouse,3538,120
103905,Mouse,3756,119
103969,Elephant,583302,1682
103972,Mouse,3043,114
104026,Mouse,4430,112
104027,Mouse,5678,101
104055,Mouse,3866,100
104122,Mouse,3660,99
104149,Mouse,4794,100
104179,Mouse,5073,101
104198,Mouse,5273,108
104216,Elephant,565643,1715
104234,Mouse,4847,96
104238,Mouse,3314,95
104248,Mouse,3419,93
104280,Mouse,4833,72
104346,Mouse,3933,67
104381,Mouse,3917,66
104455,Mouse,5578,73
104471,Mouse,4785,74
104536,Elephant,357893,1250
104596,Mouse,4048,64
104600,Mouse,4497,65
104881,Mouse,5693,74
104894,Mouse,3678,76
104915,Mouse,3406,80
104925,Mouse,3182,84
104999,Mouse,5464,100
105014,Mouse,4743,102
105143,Elephant,447797,1234
105190,Mouse,5653,114
105223,Mouse,5523,103
105492,Mouse,3414,101
105681,Mouse,4399,136
105693,Elephant,335923,1222
105779,Mouse,5422,123
105827,Mouse,3112,118
105944,Elephant,522495,1479
105948,Mouse,4942,139
105966,Elephant,76094,624
106005,Mouse,4347,142
106014,Mouse,5718,132
106038,Mouse,5298,121
106135,Mouse,5544,78
106181,Mouse,5218,83
106223,Mouse,3673,92
